455	0.00184	0.03815	0.00828	2.65163E-4	6.52E-5	5.01566E-4	2.2E-5	2.2E-5	3.65E-5	1.92E-5	1.58E-5	3.64E-5	2.21E-5	4.39E-5	1.83E-5	1.48E-5	1.59E-5	2.26E-5	1.15E-5	0	0	0	0	0
460	9.38113E-4	0.02759	0.01606	5.1361E-4	8.29E-5	3.00188E-4	1.94E-5	1.94E-5	2.52E-5	2.15E-5	1.35E-5	3.51E-5	2.46E-5	4.22E-5	1.94E-5	1.51E-5	1.58E-5	1.91E-5	1.02E-5	0	0	0	0	0
465	4.78329E-4	0.01574	0.02778	9.71392E-4	1.02491E-4	2.16435E-4	2.08E-5	2.08E-5	3.16E-5	1.77E-5	1.53E-5	3.43E-5	1.92E-5	3.96E-5	1.62E-5	1.51E-5	1.69E-5	1.9E-5	1.05E-5	0	0	0	0	0
470	2.59727E-4	0.00917	0.03835	0.00178	1.37764E-4	1.67699E-4	2.16E-5	2.16E-5	3.03E-5	2.36E-5	1.36E-5	4.03E-5	2.16E-5	4.8E-5	1.18E-5	1.45E-5	1.73E-5	1.94E-5	9.8E-6	0	0	0	0	0
475	1.54937E-4	0.00527	0.03754	0.00313	2.01507E-4	1.49686E-4	1.95E-5	1.95E-5	3.03E-5	2.22E-5	1.54E-5	3.06E-5	2.12E-5	4.59E-5	1.43E-5	1.59E-5	1.68E-5	2.1E-5	9.92E-6	0	0	0	0	0
480	1.01446E-4	0.00287	0.02659	0.00535	3.26108E-4	1.59108E-4	2.18E-5	2.18E-5	3.02E-5	2.14E-5	1.62E-5	3.89E-5	2.16E-5	3.79E-5	1.56E-5	1.53E-5	1.67E-5	2.03E-5	1.02E-5	0	0	0	0	0
485	7.65E-5	0.00155	0.0155	0.0087	5.68051E-4	1.89549E-4	2.54E-5	2.54E-5	2.78E-5	2.38E-5	1.46E-5	4.19E-5	2.32E-5	4.68E-5	1.6E-5	1.66E-5	1.45E-5	1.85E-5	1.04E-5	0	0	0	0	0
490	6.2E-5	8.37102E-4	0.00881	0.0133	0.00102	2.62898E-4	2.15E-5	2.15E-5	3.22E-5	2.28E-5	1.51E-5	3.94E-5	2.5E-5	4.93E-5	1.51E-5	1.43E-5	1.61E-5	1.59E-5	8.47E-6	0	0	0	0	0
495	5.54E-5	4.58865E-4	0.00494	0.01873	0.00178	4.17514E-4	2.35E-5	2.35E-5	3.26E-5	1.85E-5	1.52E-5	4.79E-5	2.08E-5	5.2E-5	1.73E-5	1.32E-5	1.65E-5	1.94E-5	1E-5	0	0	0	0	0
500	3.44E-5	2.4319E-4	0.00268	0.02381	0.00312	7.02235E-4	2.64E-5	2.64E-5	2.84E-5	2.09E-5	1.54E-5	5.61E-5	2.01E-5	5.04E-5	1.57E-5	1.4E-5	1.53E-5	1.93E-5	9.2E-6	0	0	0	0	0
505	3.34E-5	1.43803E-4	0.0015	0.02672	0.00547	0.00119	2.97E-5	2.97E-5	2.66E-5	2.1E-5	1.63E-5	4.17E-5	1.69E-5	5.17E-5	1.6E-5	1.28E-5	1.49E-5	1.89E-5	9.96E-6	0	0	0	0	0
510	3.54E-5	9.37E-5	8.80437E-4	0.02561	0.00939	0.00199	3.29E-5	3.29E-5	2.77E-5	1.74E-5	1.74E-5	3.74E-5	2.21E-5	4.83E-5	1.33E-5	1.36E-5	1.68E-5	1.85E-5	1.01E-5	0	0	0	0	0
515	3.7E-5	6.15E-5	5.04237E-4	0.02109	0.01511	0.00311	4.42E-5	4.42E-5	2.31E-5	1.89E-5	1.42E-5	4.36E-5	2.17E-5	4.71E-5	1.53E-5	1.32E-5	1.54E-5	1.77E-5	8.62E-6	0	0	0	0	0
520	3.28E-5	4.39E-5	2.8917E-4	0.01572	0.02151	0.0045	7.08E-5	7.08E-5	2.98E-5	1.71E-5	1.49E-5	4.14E-5	1.77E-5	4.53E-5	1.64E-5	1.3E-5	1.4E-5	1.85E-5	7.35E-6	0	0	0	0	0
525	3.23E-5	3.65E-5	1.74593E-4	0.011	0.02561	0.00594	1.26853E-4	1.26853E-4	3.1E-5	1.9E-5	1.73E-5	4.51E-5	2.03E-5	3.8E-5	1.23E-5	1.34E-5	1.36E-5	2.23E-5	8.08E-6	0	0	0	0	0
530	2.97E-5	3.06E-5	1.19127E-4	0.00765	0.02624	0.00746	2.4563E-4	2.4563E-4	3.35E-5	2.04E-5	1.51E-5	4.3E-5	2.12E-5	3.47E-5	1.59E-5	1.4E-5	1.5E-5	1.67E-5	8.24E-6	0	0	0	0	0
535	3.34E-5	2.83E-5	8.44E-5	0.00518	0.02342	0.00899	4.79645E-4	4.79645E-4	2.92E-5	1.87E-5	1.38E-5	4.05E-5	2.15E-5	3.9E-5	1.4E-5	1.28E-5	1.77E-5	1.95E-5	8.94E-6	0	0	0	0	0
540	2.95E-5	2.51E-5	6.84E-5	0.00333	0.01872	0.01034	9.21783E-4	9.21783E-4	3.38E-5	1.97E-5	1.51E-5	4.58E-5	1.9E-5	4.01E-5	1.24E-5	1.29E-5	1.67E-5	1.55E-5	6.77E-6	0	0	0	0	0
545	3.3E-5	2.64E-5	5.64E-5	0.0021	0.01427	0.01145	0.00167	0.00167	3.18E-5	2.01E-5	1.46E-5	3.59E-5	2E-5	4.24E-5	1.08E-5	1.29E-5	1.82E-5	1.88E-5	7.06E-6	0	0	0	0	0
550	3.08E-5	2.44E-5	5.46E-5	0.00131	0.01056	0.01225	0.0028	0.0028	3.47E-5	2E-5	1.32E-5	4.51E-5	1.88E-5	4.43E-5	1.09E-5	1.26E-5	1.74E-5	1.9E-5	6.95E-6	0	0	0	0	0
555	3.19E-5	2.29E-5	5.17E-5	8.0162E-4	0.00747	0.01258	0.00427	0.00427	3.21E-5	1.95E-5	1.38E-5	4.14E-5	1.75E-5	4.78E-5	1.33E-5	1.3E-5	1.66E-5	1.9E-5	6.26E-6	0	0	0	0	0
560	3.06E-5	2.4E-5	5.05E-5	4.69672E-4	0.00493	0.01246	0.0061	0.0061	4.09E-5	1.82E-5	1.39E-5	4.26E-5	1.65E-5	5.31E-5	1.42E-5	1.35E-5	1.34E-5	1.57E-5	5.83E-6	0	0	0	0	0
565	2.92E-5	2.23E-5	4.92E-5	2.71999E-4	0.0031	0.012	0.00812	0.00812	4.31E-5	2.11E-5	1.24E-5	3.26E-5	1.61E-5	4.06E-5	1.23E-5	1.27E-5	1.28E-5	1.53E-5	4.96E-6	0	0	0	0	0
570	2.91E-5	2.31E-5	4.95E-5	1.56042E-4	0.00191	0.01133	0.01015	0.01015	5.48E-5	2.14E-5	1.27E-5	2.74E-5	1.6E-5	4.46E-5	1.1E-5	1.16E-5	1.33E-5	1.37E-5	5.29E-6	0	0	0	0	0
575	2.98E-5	2.17E-5	4.89E-5	9.97E-5	0.00118	0.01057	0.01186	0.01186	7.52E-5	1.99E-5	1.32E-5	2.55E-5	1.57E-5	4.4E-5	1.03E-5	1.11E-5	1.24E-5	1.63E-5	5.25E-6	0	0	0	0	0
580	2.91E-5	1.86E-5	4.96E-5	6.9E-5	7.2788E-4	0.00976	0.01322	0.01322	1.1392E-4	2.53E-5	1.23E-5	3E-5	1.73E-5	3.9E-5	1.01E-5	9.47E-6	1E-5	1.45E-5	4.63E-6	0	0	0	0	0
585	2.81E-5	2.01E-5	4.86E-5	5.38E-5	4.44611E-4	0.00892	0.0141	0.0141	1.85767E-4	3.12E-5	1.4E-5	2.82E-5	1.74E-5	3.22E-5	1.24E-5	1.04E-5	9.6E-6	1.55E-5	3.69E-6	0	0	0	0	0
590	2.59E-5	1.87E-5	4.7E-5	4.58E-5	2.69208E-4	0.00802	0.01449	0.01449	3.21066E-4	3.99E-5	1.34E-5	3.13E-5	1.72E-5	2.74E-5	1.04E-5	1.04E-5	8.5E-6	1.55E-5	3.88E-6	0	0	0	0	0
595	2.46E-5	1.8E-5	4.46E-5	4.08E-5	1.63914E-4	0.00711	0.01443	0.01443	5.73549E-4	6.02E-5	1.28E-5	3.48E-5	1.62E-5	2.58E-5	1.15E-5	8.92E-6	6.64E-6	1.35E-5	3.98E-6	0	0	0	0	0
600	2.3E-5	1.66E-5	4.24E-5	3.7E-5	1.03751E-4	0.00623	0.01396	0.01396	0.00103	1.04339E-4	1.49E-5	4.12E-5	1.49E-5	2.26E-5	9.73E-6	9.41E-6	8.5E-6	1.38E-5	2.99E-6	0	0	0	0	0
605	2.3E-5	1.61E-5	3.91E-5	3.41E-5	7.43E-5	0.00539	0.01314	0.01314	0.00181	1.83019E-4	1.62E-5	3.73E-5	1.52E-5	2.36E-5	8.94E-6	7.8E-6	8.24E-6	1.54E-5	2.95E-6	0	0	0	0	0
610	2.07E-5	1.48E-5	3.84E-5	3.3E-5	5.37E-5	0.00462	0.01212	0.01212	0.00313	3.2145E-4	2.15E-5	3.67E-5	1.63E-5	2.82E-5	1.08E-5	7.48E-6	9E-6	1.53E-5	3.21E-6	0	0	0	0	0
615	2.1E-5	1.47E-5	3.62E-5	3.17E-5	4.32E-5	0.00387	0.01091	0.01091	0.00554	5.89348E-4	3.36E-5	3.34E-5	1.49E-5	2.58E-5	1.21E-5	6.09E-6	6.59E-6	1.63E-5	2.78E-6	0	0	0	0	0
620	2.09E-5	1.38E-5	3.25E-5	2.87E-5	3.44E-5	0.00316	0.00953	0.00953	0.00981	0.00109	5.84E-5	3.61E-5	1.48E-5	2.28E-5	9.72E-6	6.57E-6	1.14E-5	1.47E-5	3.2E-6	0	0	0	0	0
625	1.99E-5	1.29E-5	3.09E-5	2.83E-5	3.26E-5	0.00252	0.00815	0.00815	0.01691	0.00194	1.11154E-4	3.29E-5	1.43E-5	2.29E-5	8.93E-6	6.76E-6	9.79E-6	1.53E-5	3.52E-6	0	0	0	0	0
630	1.83E-5	1.16E-5	2.69E-5	2.65E-5	2.69E-5	0.00196	0.0068	0.0068	0.02752	0.0033	2.06756E-4	3.34E-5	1.41E-5	2.21E-5	8.58E-6	5.67E-6	6.13E-6	1.38E-5	2.06E-6	0	0	0	0	0
635	1.66E-5	1.01E-5	2.57E-5	2.41E-5	3.05E-5	0.00149	0.00557	0.00557	0.04073	0.00543	3.79299E-4	2.67E-5	1.31E-5	2.25E-5	9.21E-6	8.03E-6	9.95E-6	1.42E-5	3.21E-6	0	0	0	0	0
