wavelength (nm) ,irradiance (w m-2 nm-1)
300,3.58E-07
301,7.52E-07
302,1.26E-06
303,3.40E-06
304,5.05E-06
305,9.74E-06
306,1.20E-05
307,1.97E-05
308,2.93E-05
309,3.44E-05
310,4.73E-05
311,8.28E-05
312,1.00E-04
313,1.24E-04
314,1.49E-04
315,1.82E-04
316,1.73E-04
317,2.52E-04
318,2.71E-04
319,3.31E-04
320,3.49E-04
321,4.43E-04
322,4.09E-04
323,4.07E-04
324,5.49E-04
325,5.79E-04
326,8.21E-04
327,8.90E-04
328,8.14E-04
329,1.02E-03
330,1.18E-03
331,1.04E-03
332,1.17E-03
333,1.19E-03
334,1.19E-03
335,1.38E-03
336,1.28E-03
337,1.20E-03
338,1.44E-03
339,1.60E-03
340,1.80E-03
341,1.75E-03
342,1.89E-03
343,2.06E-03
344,1.74E-03
345,1.98E-03
346,2.14E-03
347,2.30E-03
348,2.30E-03
349,2.34E-03
350,2.76E-03
351,2.98E-03
352,2.89E-03
353,3.00E-03
354,3.60E-03
355,3.77E-03
356,3.51E-03
357,2.98E-03
358,2.89E-03
359,3.24E-03
360,4.25E-03
361,4.23E-03
362,5.52E-03
363,6.95E-03
364,7.62E-03
365,8.24E-03
366,1.02E-02
367,1.04E-02
368,1.01E-02
369,1.14E-02
370,1.30E-02
371,1.25E-02
372,1.25E-02
373,1.18E-02
374,1.09E-02
375,1.18E-02
376,1.38E-02
377,1.50E-02
378,1.85E-02
379,1.65E-02
380,1.63E-02
381,1.84E-02
382,1.44E-02
383,1.14E-02
384,1.30E-02
385,1.74E-02
386,1.64E-02
387,1.75E-02
388,1.73E-02
389,1.89E-02
390,2.23E-02
391,2.43E-02
392,2.32E-02
393,1.43E-02
394,1.50E-02
395,2.50E-02
396,2.37E-02
397,1.35E-02
398,2.72E-02
399,3.45E-02
400,3.64E-02
401,3.84E-02
402,4.04E-02
403,3.94E-02
404,4.06E-02
405,4.02E-02
406,3.98E-02
407,3.97E-02
408,4.18E-02
409,4.51E-02
410,3.88E-02
411,4.39E-02
412,4.71E-02
413,4.56E-02
414,4.55E-02
415,4.75E-02
416,4.94E-02
417,4.86E-02
418,4.70E-02
419,4.93E-02
420,4.56E-02
421,5.23E-02
422,5.21E-02
423,5.09E-02
424,5.10E-02
425,5.30E-02
426,5.19E-02
427,5.06E-02
428,5.15E-02
429,4.80E-02
430,3.86E-02
431,3.53E-02
432,5.92E-02
433,5.56E-02
434,5.17E-02
435,5.72E-02
436,6.31E-02
437,6.49E-02
438,5.74E-02
439,5.56E-02
440,6.42E-02
441,6.39E-02
442,6.90E-02
443,7.06E-02
444,6.94E-02
445,7.27E-02
446,6.58E-02
447,7.52E-02
448,7.64E-02
449,7.66E-02
450,7.98E-02
451,8.31E-02
452,7.99E-02
453,7.42E-02
454,8.00E-02
455,7.99E-02
456,8.30E-02
457,8.42E-02
458,8.29E-02
459,8.28E-02
460,8.28E-02
461,8.62E-02
462,8.75E-02
463,8.83E-02
464,8.60E-02
465,8.54E-02
466,8.77E-02
467,8.42E-02
468,8.84E-02
469,8.92E-02
470,8.63E-02
471,8.82E-02
472,9.34E-02
473,9.03E-02
474,9.23E-02
475,9.63E-02
476,9.41E-02
477,9.56E-02
478,9.95E-02
479,9.83E-02
480,1.01E-01
481,1.02E-01
482,1.03E-01
483,1.02E-01
484,1.01E-01
485,1.01E-01
486,8.23E-02
487,9.27E-02
488,1.01E-01
489,9.57E-02
490,1.08E-01
491,1.04E-01
492,9.98E-02
493,1.07E-01
494,1.05E-01
495,1.12E-01
496,1.07E-01
497,1.09E-01
498,1.07E-01
499,1.07E-01
500,1.07E-01
501,1.04E-01
502,1.04E-01
503,1.09E-01
504,1.02E-01
505,1.09E-01
506,1.13E-01
