wavelength (nm) ,irradiance (w m-2 nm-2)
300,4.41E-12
301,1.14E-11
302,2.36E-11
303,7.85E-11
304,1.43E-10
305,3.41E-10
306,5.05E-10
307,9.92E-10
308,1.77E-09
309,2.48E-09
310,4.08E-09
311,8.26E-09
312,1.16E-08
313,1.65E-08
314,2.29E-08
315,3.24E-08
316,3.39E-08
317,5.45E-08
318,6.46E-08
319,8.69E-08
320,1.01E-07
321,1.38E-07
322,1.39E-07
323,1.49E-07
324,2.19E-07
325,2.50E-07
326,3.81E-07
327,4.45E-07
328,4.38E-07
329,5.88E-07
330,7.33E-07
331,6.94E-07
332,8.35E-07
333,9.12E-07
334,9.78E-07
335,1.21E-06
336,1.22E-06
337,1.23E-06
338,1.60E-06
339,1.91E-06
340,2.31E-06
341,2.43E-06
342,2.82E-06
343,3.32E-06
344,3.02E-06
345,3.70E-06
346,4.32E-06
347,5.00E-06
348,5.39E-06
349,5.92E-06
350,7.51E-06
351,8.67E-06
352,8.99E-06
353,9.97E-06
354,1.28E-05
355,1.43E-05
356,1.41E-05
357,1.27E-05
358,1.30E-05
359,1.55E-05
360,2.15E-05
361,2.81E-05
362,5.89E-05
363,9.28E-05
364,1.20E-04
365,1.44E-04
366,1.95E-04
367,2.18E-04
368,2.28E-04
369,3.08E-04
370,3.87E-04
371,4.05E-04
372,4.29E-04
373,4.25E-04
374,4.13E-04
375,4.71E-04
376,5.80E-04
377,6.59E-04
378,8.58E-04
379,8.06E-04
380,8.75E-04
381,1.07E-03
382,8.65E-04
383,7.09E-04
384,8.39E-04
385,1.17E-03
386,1.14E-03
387,1.25E-03
388,1.28E-03
389,1.44E-03
390,1.75E-03
391,1.98E-03
392,1.97E-03
393,1.26E-03
394,1.39E-03
395,2.40E-03
396,2.33E-03
397,1.35E-03
398,2.78E-03
399,3.60E-03
400,3.87E-03
401,4.19E-03
402,4.53E-03
403,4.53E-03
404,4.80E-03
405,4.90E-03
406,5.00E-03
407,5.14E-03
408,5.52E-03
409,6.06E-03
410,5.32E-03
411,6.12E-03
412,6.69E-03
413,6.60E-03
414,6.72E-03
415,7.15E-03
416,7.57E-03
417,7.59E-03
418,7.47E-03
419,8.00E-03
420,7.54E-03
421,8.80E-03
422,8.93E-03
423,8.87E-03
424,9.04E-03
425,9.54E-03
426,9.50E-03
427,9.41E-03
428,9.73E-03
429,9.23E-03
430,7.54E-03
431,7.00E-03
432,1.19E-02
433,1.14E-02
434,1.07E-02
435,1.20E-02
436,1.35E-02
437,1.41E-02
438,1.26E-02
439,1.24E-02
440,1.45E-02
441,1.47E-02
442,1.62E-02
443,1.69E-02
444,1.69E-02
445,1.80E-02
446,1.66E-02
447,1.91E-02
448,1.96E-02
449,1.99E-02
450,2.09E-02
451,2.20E-02
452,2.13E-02
453,2.00E-02
454,2.18E-02
455,2.20E-02
456,2.32E-02
457,2.38E-02
458,2.37E-02
459,2.40E-02
460,2.43E-02
461,2.56E-02
462,2.62E-02
463,2.67E-02
464,2.64E-02
465,2.65E-02
466,2.75E-02
467,2.67E-02
468,2.83E-02
469,2.89E-02
470,2.83E-02
471,2.92E-02
472,3.13E-02
473,3.06E-02
474,3.20E-02
475,3.41E-02
476,3.41E-02
477,3.53E-02
478,3.73E-02
479,3.75E-02
480,3.91E-02
481,4.00E-02
482,4.09E-02
483,4.12E-02
484,4.11E-02
485,4.17E-02
486,3.45E-02
487,3.93E-02
488,4.34E-02
489,4.16E-02
490,4.74E-02
491,4.64E-02
492,4.49E-02
493,4.87E-02
494,4.82E-02
495,5.19E-02
496,5.00E-02
497,5.16E-02
498,5.08E-02
499,5.11E-02
500,5.12E-02
501,4.99E-02
502,5.01E-02
503,5.27E-02
504,4.94E-02
505,5.30E-02
506,5.53E-02
507,5.30E-02
508,5.17E-02
509,5.43E-02
510,5.30E-02
511,5.39E-02
512,5.53E-02
513,5.18E-02
514,5.07E-02
515,5.20E-02
516,5.24E-02
517,4.27E-02
518,4.92E-02
519,4.81E-02
520,5.31E-02
521,5.39E-02
522,5.57E-02
523,5.29E-02
524,5.75E-02
525,5.73E-02
526,5.58E-02
527,4.89E-02
528,5.61E-02
529,5.89E-02
530,5.67E-02
531,6.00E-02
532,5.91E-02
533,5.29E-02
534,5.67E-02
535,5.76E-02
536,6.00E-02
537,5.56E-02
538,5.83E-02
539,5.69E-02
540,5.50E-02
541,5.28E-02
542,5.75E-02
543,5.66E-02
544,5.88E-02
545,5.76E-02
546,5.72E-02
547,5.81E-02
548,5.66E-02
549,5.85E-02
550,5.82E-02
551,5.83E-02
552,5.93E-02
553,5.74E-02
554,5.83E-02
555,5.85E-02
556,5.73E-02
557,5.57E-02
558,5.67E-02
559,5.34E-02
560,5.42E-02
561,5.71E-02
562,5.40E-02
563,5.57E-02
564,5.43E-02
565,5.44E-02
566,5.11E-02
567,5.42E-02
568,5.33E-02
569,5.17E-02
570,5.15E-02
571,4.92E-02
572,5.12E-02
573,5.06E-02
574,4.96E-02
575,4.77E-02
576,4.66E-02
577,4.70E-02
578,4.49E-02
579,4.45E-02
580,4.41E-02
581,4.31E-02
582,4.26E-02
583,4.19E-02
584,4.07E-02
585,3.92E-02
586,3.73E-02
587,3.71E-02
588,3.46E-02
589,2.85E-02
590,2.89E-02
591,2.95E-02
592,2.75E-02
593,2.66E-02
594,2.51E-02
595,2.36E-02
596,2.31E-02
597,2.20E-02
598,2.07E-02
599,1.95E-02
600,1.85E-02
601,1.73E-02
602,1.61E-02
603,1.56E-02
604,1.51E-02
605,1.44E-02
606,1.41E-02
607,1.39E-02
608,1.37E-02
609,1.34E-02
610,1.31E-02
611,1.28E-02
612,1.28E-02
613,1.25E-02
614,1.19E-02
615,1.22E-02
616,1.18E-02
617,1.15E-02
618,1.18E-02
619,1.17E-02
620,1.15E-02
621,1.14E-02
622,1.09E-02
623,1.07E-02
624,1.05E-02
625,1.03E-02
626,1.02E-02
627,1.03E-02
628,9.64E-03
629,9.86E-03
630,9.61E-03
631,9.65E-03
632,9.18E-03
