wavelength (nm) ,irradiance (w m-2 nm-2)
300,9.17E-16
301,2.78E-15
302,6.72E-15
303,2.61E-14
304,5.58E-14
305,1.55E-13
306,2.63E-13
307,5.92E-13
308,1.21E-12
309,1.94E-12
310,3.65E-12
311,8.24E-12
312,1.29E-11
313,2.05E-11
314,3.17E-11
315,5.00E-11
316,5.63E-11
317,9.72E-11
318,1.24E-10
319,1.79E-10
320,2.23E-10
321,3.26E-10
322,3.46E-10
323,3.97E-10
324,6.17E-10
325,7.49E-10
326,1.21E-09
327,1.49E-09
328,1.55E-09
329,2.19E-09
330,2.89E-09
331,2.88E-09
332,3.65E-09
333,4.20E-09
334,4.75E-09
335,6.21E-09
336,6.58E-09
337,7.02E-09
338,9.67E-09
339,1.22E-08
340,1.57E-08
341,1.74E-08
342,2.14E-08
343,2.67E-08
344,2.56E-08
345,3.33E-08
346,4.11E-08
347,5.03E-08
348,5.74E-08
349,6.67E-08
350,8.96E-08
351,1.09E-07
352,1.18E-07
353,1.38E-07
354,1.86E-07
355,2.18E-07
356,2.25E-07
357,2.11E-07
358,2.26E-07
359,2.81E-07
360,4.08E-07
361,6.52E-07
362,1.95E-06
363,3.64E-06
364,5.35E-06
365,6.91E-06
366,1.01E-05
367,1.19E-05
368,1.33E-05
369,2.05E-05
370,2.77E-05
371,3.09E-05
372,3.42E-05
373,3.53E-05
374,3.56E-05
375,4.21E-05
376,5.38E-05
377,6.35E-05
378,8.58E-05
379,8.40E-05
380,9.78E-05
381,1.26E-04
382,1.05E-04
383,8.84E-05
384,1.08E-04
385,1.54E-04
386,1.54E-04
387,1.74E-04
388,1.81E-04
389,2.08E-04
390,2.59E-04
391,3.03E-04
392,3.10E-04
393,2.05E-04
394,2.32E-04
395,4.14E-04
396,4.08E-04
397,2.40E-04
398,5.03E-04
399,6.60E-04
400,7.22E-04
401,7.97E-04
402,8.78E-04
403,8.95E-04
404,9.69E-04
405,1.01E-03
406,1.06E-03
407,1.11E-03
408,1.21E-03
409,1.35E-03
410,1.20E-03
411,1.40E-03
412,1.55E-03
413,1.55E-03
414,1.60E-03
