wavelength (nm) ,irradiance (w m-2 nm-2)
300,2.61E-13
301,7.12E-13
302,1.55E-12
303,5.44E-12
304,1.05E-11
305,2.62E-11
306,4.06E-11
307,8.35E-11
308,1.55E-10
309,2.28E-10
310,3.93E-10
311,8.25E-10
312,1.20E-09
313,1.78E-09
314,2.55E-09
315,3.74E-09
316,4.02E-09
317,6.61E-09
318,8.02E-09
319,1.11E-08
320,1.31E-08
321,1.84E-08
322,1.88E-08
323,2.07E-08
324,3.09E-08
325,3.60E-08
326,5.60E-08
327,6.65E-08
328,6.67E-08
329,9.12E-08
330,1.16E-07
331,1.12E-07
332,1.37E-07
333,1.52E-07
334,1.66E-07
335,2.09E-07
336,2.14E-07
337,2.19E-07
338,2.91E-07
339,3.54E-07
340,4.38E-07
341,4.69E-07
342,5.54E-07
343,6.65E-07
344,6.16E-07
345,7.70E-07
346,9.15E-07
347,1.08E-06
348,1.19E-06
349,1.33E-06
350,1.72E-06
351,2.01E-06
352,2.12E-06
353,2.39E-06
354,3.12E-06
355,3.54E-06
356,3.55E-06
357,3.24E-06
358,3.37E-06
359,4.07E-06
360,5.73E-06
361,8.00E-06
362,1.89E-05
363,3.15E-05
364,4.26E-05
365,5.23E-05
366,7.27E-05
367,8.27E-05
368,8.84E-05
369,1.25E-04
370,1.61E-04
371,1.72E-04
372,1.85E-04
373,1.86E-04
374,1.82E-04
375,2.10E-04
376,2.62E-04
377,3.02E-04
378,3.98E-04
379,3.79E-04
380,4.22E-04
381,5.23E-04
382,4.28E-04
383,3.54E-04
384,4.23E-04
385,5.95E-04
386,5.83E-04
387,6.49E-04
388,6.66E-04
389,7.56E-04
390,9.26E-04
391,1.06E-03
392,1.06E-03
393,6.88E-04
394,7.64E-04
395,1.34E-03
396,1.30E-03
397,7.60E-04
398,1.57E-03
399,2.04E-03
400,2.21E-03
401,2.41E-03
402,2.62E-03
403,2.64E-03
404,2.82E-03
405,2.90E-03
406,2.98E-03
407,3.08E-03
408,3.33E-03
409,3.67E-03
410,3.23E-03
411,3.74E-03
412,4.11E-03
413,4.07E-03
414,4.16E-03
415,4.45E-03
416,4.74E-03
417,4.77E-03
418,4.72E-03
419,5.07E-03
420,4.80E-03
421,5.64E-03
422,5.75E-03
423,5.73E-03
424,5.86E-03
425,6.22E-03
426,6.22E-03
427,6.18E-03
428,6.42E-03
429,6.11E-03
430,5.01E-03
431,4.67E-03
432,7.99E-03
433,7.64E-03
434,7.25E-03
435,8.16E-03
436,9.18E-03
437,9.61E-03
438,8.65E-03
439,8.54E-03
440,1.00E-02
441,1.02E-02
442,1.13E-02
443,1.18E-02
444,1.18E-02
445,1.27E-02
446,1.17E-02
447,1.36E-02
448,1.40E-02
449,1.42E-02
450,1.49E-02
451,1.57E-02
452,1.53E-02
453,1.44E-02
454,1.57E-02
455,1.59E-02
456,1.68E-02
457,1.73E-02
458,1.73E-02
459,1.76E-02
460,1.78E-02
461,1.89E-02
462,1.94E-02
463,1.98E-02
464,1.96E-02
465,1.97E-02
466,2.05E-02
467,2.00E-02
468,2.13E-02
469,2.18E-02
470,2.14E-02
471,2.22E-02
472,2.38E-02
473,2.34E-02
474,2.46E-02
475,2.63E-02
476,2.64E-02
477,2.75E-02
478,2.92E-02
479,2.95E-02
480,3.09E-02
481,3.17E-02
482,3.25E-02
483,3.28E-02
484,3.29E-02
485,3.35E-02
486,2.77E-02
487,3.17E-02
488,3.51E-02
489,3.38E-02
490,3.86E-02
491,3.79E-02
492,3.68E-02
493,4.00E-02
494,3.96E-02
495,4.28E-02
496,4.13E-02
497,4.27E-02
498,4.22E-02
499,4.24E-02
500,4.26E-02
501,4.15E-02
502,4.17E-02
503,4.39E-02
504,4.12E-02
505,4.43E-02
506,4.62E-02
507,4.43E-02
508,4.32E-02
509,4.54E-02
510,4.43E-02
511,4.51E-02
512,4.62E-02
513,4.33E-02
514,4.23E-02
515,4.35E-02
516,4.38E-02
517,3.56E-02
518,4.12E-02
519,4.03E-02
520,4.45E-02
521,4.53E-02
522,4.68E-02
523,4.46E-02
524,4.85E-02
525,4.84E-02
526,4.72E-02
527,4.14E-02
528,4.75E-02
529,4.98E-02
530,4.80E-02
531,5.08E-02
532,5.00E-02
533,4.48E-02
534,4.81E-02
535,4.88E-02
536,5.09E-02
537,4.71E-02
538,4.94E-02
539,4.82E-02
540,4.66E-02
541,4.48E-02
542,4.87E-02
543,4.80E-02
544,4.99E-02
545,4.89E-02
546,4.86E-02
547,4.94E-02
548,4.81E-02
549,4.97E-02
550,4.95E-02
551,4.96E-02
552,5.04E-02
553,4.88E-02
554,4.96E-02
555,4.96E-02
556,4.86E-02
557,4.72E-02
558,4.80E-02
559,4.52E-02
560,4.58E-02
561,4.83E-02
562,4.56E-02
563,4.71E-02
564,4.58E-02
565,4.58E-02
566,4.30E-02
567,4.55E-02
568,4.48E-02
569,4.34E-02
570,4.32E-02
571,4.12E-02
572,4.27E-02
573,4.22E-02
574,4.12E-02
575,3.95E-02
576,3.85E-02
577,3.88E-02
578,3.69E-02
579,3.65E-02
580,3.59E-02
581,3.50E-02
582,3.44E-02
583,3.37E-02
584,3.25E-02
585,3.13E-02
586,2.96E-02
587,2.93E-02
588,2.71E-02
589,2.22E-02
590,2.23E-02
591,2.26E-02
592,2.09E-02
593,2.00E-02
594,1.88E-02
595,1.75E-02
596,1.70E-02
597,1.60E-02
598,1.49E-02
599,1.39E-02
600,1.31E-02
601,1.21E-02
602,1.12E-02
603,1.07E-02
604,1.03E-02
605,9.75E-03
606,9.52E-03
607,9.40E-03
608,9.19E-03
609,8.95E-03
610,8.74E-03
611,8.54E-03
612,8.51E-03
613,8.27E-03
614,7.91E-03
615,8.08E-03
616,7.76E-03
617,7.55E-03
618,7.73E-03
619,7.65E-03
620,7.55E-03
621,7.47E-03
622,7.10E-03
623,6.94E-03
624,6.81E-03
625,6.67E-03
626,6.57E-03
627,6.66E-03
