wavelength (nm) ,irradiance (w m-2 nm-2)
300,2.12E-08
301,4.69E-08
302,8.31E-08
303,2.36E-07
304,3.69E-07
305,7.49E-07
306,9.68E-07
307,1.66E-06
308,2.58E-06
309,3.17E-06
310,4.56E-06
311,8.28E-06
312,1.04E-05
313,1.33E-05
314,1.66E-05
315,2.10E-05
316,2.05E-05
317,3.06E-05
318,3.37E-05
319,4.22E-05
320,4.55E-05
321,5.89E-05
322,5.55E-05
323,5.63E-05
324,7.76E-05
325,8.35E-05
326,1.21E-04
327,1.33E-04
328,1.24E-04
329,1.58E-04
330,1.86E-04
331,1.67E-04
332,1.91E-04
333,1.98E-04
334,2.01E-04
335,2.37E-04
336,2.25E-04
337,2.14E-04
338,2.63E-04
339,2.97E-04
340,3.41E-04
341,3.38E-04
342,3.72E-04
343,4.13E-04
344,3.55E-04
345,4.12E-04
346,4.54E-04
347,4.97E-04
348,5.06E-04
349,5.25E-04
350,6.30E-04
351,6.92E-04
352,6.82E-04
353,7.20E-04
354,8.80E-04
355,9.34E-04
356,8.84E-04
357,7.61E-04
358,7.48E-04
359,8.53E-04
360,1.13E-03
361,1.21E-03
362,1.77E-03
363,2.36E-03
364,2.70E-03
365,2.99E-03
366,3.79E-03
367,3.97E-03
368,3.90E-03
369,4.62E-03
370,5.41E-03
371,5.30E-03
372,5.38E-03
373,5.13E-03
374,4.79E-03
375,5.27E-03
376,6.26E-03
377,6.85E-03
378,8.57E-03
379,7.75E-03
380,7.83E-03
381,9.02E-03
382,7.12E-03
383,5.68E-03
384,6.54E-03
385,8.87E-03
386,8.40E-03
387,9.04E-03
388,9.01E-03
389,9.93E-03
390,1.18E-02
391,1.30E-02
392,1.25E-02
393,7.78E-03
394,8.29E-03
395,1.39E-02
396,1.33E-02
397,7.59E-03
398,1.54E-02
399,1.96E-02
400,2.08E-02
401,2.21E-02
402,2.34E-02
403,2.29E-02
404,2.38E-02
405,2.38E-02
406,2.37E-02
407,2.38E-02
408,2.52E-02
409,2.73E-02
410,2.36E-02
411,2.68E-02
412,2.89E-02
413,2.81E-02
414,2.82E-02
415,2.96E-02
416,3.09E-02
417,3.06E-02
418,2.97E-02
419,3.13E-02
420,2.91E-02
421,3.35E-02
422,3.35E-02
423,3.29E-02
424,3.31E-02
425,3.45E-02
426,3.40E-02
427,3.32E-02
428,3.39E-02
429,3.18E-02
430,2.57E-02
431,2.36E-02
432,3.97E-02
433,3.74E-02
434,3.49E-02
435,3.87E-02
436,4.29E-02
437,4.43E-02
438,3.93E-02
439,3.82E-02
440,4.43E-02
441,4.43E-02
442,4.80E-02
443,4.94E-02
444,4.87E-02
445,5.13E-02
446,4.66E-02
447,5.34E-02
448,5.44E-02
449,5.47E-02
450,5.71E-02
451,5.96E-02
452,5.74E-02
453,5.34E-02
454,5.78E-02
455,5.79E-02
456,6.03E-02
457,6.14E-02
458,6.07E-02
459,6.07E-02
460,6.09E-02
461,6.36E-02
462,6.47E-02
463,6.55E-02
464,6.40E-02
465,6.37E-02
466,6.56E-02
467,6.32E-02
468,6.65E-02
469,6.73E-02
470,6.53E-02
471,6.70E-02
472,7.10E-02
473,6.89E-02
474,7.08E-02
475,7.43E-02
476,7.30E-02
477,7.45E-02
478,7.79E-02
479,7.73E-02
480,7.95E-02
481,8.05E-02
482,8.15E-02
483,8.12E-02
484,8.04E-02
485,8.09E-02
486,6.62E-02
487,7.48E-02
488,8.17E-02
489,7.77E-02
490,8.77E-02
491,8.50E-02
492,8.17E-02
493,8.80E-02
494,8.65E-02
495,9.25E-02
496,8.85E-02
497,9.07E-02
498,8.88E-02
499,8.90E-02
500,8.89E-02
501,8.64E-02
502,8.66E-02
503,9.08E-02
504,8.49E-02
505,9.11E-02
506,9.48E-02
507,9.08E-02
508,8.86E-02
509,9.29E-02
510,9.06E-02
511,9.22E-02
512,9.46E-02
513,8.88E-02
514,8.68E-02
515,8.93E-02
516,9.00E-02
517,7.33E-02
518,8.42E-02
519,8.20E-02
520,8.99E-02
521,9.10E-02
522,9.34E-02
523,8.85E-02
524,9.56E-02
525,9.51E-02
526,9.25E-02
527,8.10E-02
528,9.29E-02
529,9.73E-02
530,9.36E-02
531,9.89E-02
532,9.72E-02
533,8.69E-02
534,9.32E-02
535,9.46E-02
536,9.86E-02
537,9.13E-02
538,9.58E-02
539,9.35E-02
540,9.03E-02
541,8.68E-02
542,9.44E-02
543,9.30E-02
544,9.64E-02
545,9.43E-02
546,9.35E-02
547,9.49E-02
548,9.23E-02
549,9.53E-02
550,9.47E-02
551,9.47E-02
552,9.65E-02
553,9.36E-02
554,9.52E-02
555,9.56E-02
556,9.38E-02
557,9.13E-02
558,9.31E-02
559,8.79E-02
560,8.94E-02
561,9.43E-02
562,8.96E-02
563,9.27E-02
564,9.06E-02
565,9.09E-02
566,8.57E-02
567,9.11E-02
568,9.00E-02
569,8.75E-02
570,8.73E-02
571,8.40E-02
572,8.80E-02
573,8.77E-02
574,8.66E-02
575,8.40E-02
576,8.26E-02
577,8.41E-02
578,8.08E-02
579,8.11E-02
580,8.14E-02
581,8.06E-02
582,8.08E-02
583,8.05E-02
584,7.92E-02
585,7.75E-02
586,7.46E-02
587,7.52E-02
588,7.19E-02
589,6.06E-02
590,6.29E-02
591,6.57E-02
592,6.28E-02
593,6.22E-02
594,6.03E-02
595,5.81E-02
596,5.84E-02
597,5.71E-02
598,5.49E-02
599,5.33E-02
600,5.23E-02
601,5.02E-02
602,4.80E-02
603,4.78E-02
604,4.75E-02
605,4.63E-02
606,4.57E-02
607,4.56E-02
608,4.51E-02
609,4.44E-02
610,4.38E-02
611,4.33E-02
612,4.36E-02
613,4.27E-02
614,4.11E-02
615,4.24E-02
616,4.10E-02
617,4.03E-02
618,4.15E-02
619,4.15E-02
620,4.12E-02
621,4.12E-02
622,3.94E-02
623,3.89E-02
624,3.85E-02
625,3.80E-02
626,3.77E-02
627,3.86E-02
628,3.63E-02
629,3.73E-02
630,3.66E-02
631,3.70E-02
632,3.54E-02
633,3.74E-02
634,3.66E-02
635,3.68E-02
636,3.58E-02
637,3.68E-02
638,3.68E-02
639,3.65E-02
640,3.55E-02
641,3.53E-02
642,3.52E-02
643,3.53E-02
644,3.49E-02
645,3.49E-02
646,3.37E-02
647,3.33E-02
648,3.27E-02
649,3.14E-02
650,3.11E-02
651,3.26E-02
652,3.09E-02
653,3.14E-02
654,3.06E-02
655,2.86E-02
656,2.45E-02
657,2.51E-02
658,2.74E-02
659,2.69E-02
660,2.65E-02
661,2.60E-02
662,2.56E-02
663,2.55E-02
664,2.56E-02
665,2.59E-02
666,2.57E-02
667,2.53E-02
668,2.53E-02
669,2.56E-02
670,2.51E-02
671,2.49E-02
672,2.44E-02
673,2.45E-02
674,2.43E-02
675,2.39E-02
676,2.40E-02
677,2.36E-02
678,2.36E-02
679,2.32E-02
680,2.31E-02
681,2.28E-02
682,2.27E-02
683,2.23E-02
684,2.20E-02
685,2.18E-02
686,2.11E-02
687,1.50E-02
688,1.72E-02
689,1.71E-02
690,1.77E-02
691,1.80E-02
692,1.80E-02
693,1.74E-02
694,1.67E-02
695,1.65E-02
696,1.60E-02
697,1.63E-02
698,1.54E-02
699,1.45E-02
700,1.39E-02
701,1.33E-02
702,1.26E-02
703,1.18E-02
704,1.16E-02
705,1.11E-02
706,1.05E-02
707,9.37E-03
708,8.87E-03
709,8.46E-03
710,8.05E-03
711,7.59E-03
712,6.39E-03
713,5.61E-03
714,5.22E-03
715,4.56E-03
716,3.95E-03
717,2.77E-03
718,2.07E-03
719,1.29E-03
720,1.12E-03
721,1.00E-03
722,9.30E-04
723,6.96E-04
724,5.21E-04
725,3.93E-04
726,3.14E-04
727,2.42E-04
728,1.78E-04
729,1.37E-04
730,1.23E-04
731,9.74E-05
732,8.76E-05
733,7.57E-05
734,6.52E-05
735,5.36E-05
736,4.73E-05
737,4.21E-05
738,3.83E-05
739,3.31E-05
740,3.03E-05
741,2.81E-05
742,2.62E-05
743,2.50E-05
744,2.34E-05
745,2.19E-05
746,2.14E-05
747,2.09E-05
748,2.04E-05
749,1.99E-05
750,1.95E-05
751,1.92E-05
752,1.90E-05
753,1.87E-05
754,1.87E-05
755,1.85E-05
756,1.85E-05
757,1.87E-05
758,1.90E-05
759,1.87E-05
760,4.21E-06
761,2.49E-06
762,1.13E-05
763,6.37E-06
764,9.21E-06
765,1.20E-05
766,1.45E-05
767,1.90E-05
768,2.38E-05
769,2.64E-05
770,2.87E-05
771,3.05E-05
772,3.24E-05
773,3.42E-05
774,3.61E-05
775,3.81E-05
776,4.16E-05
777,4.50E-05
778,4.90E-05
779,5.36E-05
780,5.77E-05
781,6.27E-05
782,6.87E-05
783,7.45E-05
784,8.06E-05
785,8.82E-05
786,9.36E-05
787,9.80E-05
788,1.03E-04
789,1.08E-04
790,1.11E-04
791,1.20E-04
792,1.25E-04
793,1.31E-04
794,1.39E-04
795,1.41E-04
796,1.40E-04
797,1.45E-04
798,1.50E-04
799,1.49E-04
800,1.49E-04
801,1.49E-04
802,1.47E-04
803,1.43E-04
804,1.43E-04
805,1.38E-04
806,1.34E-04
807,1.23E-04
808,1.14E-04
809,1.04E-04
810,9.48E-05
811,8.61E-05
812,7.64E-05
813,6.83E-05
814,5.57E-05
815,5.03E-05
816,3.96E-05
817,3.43E-05
818,2.80E-05
819,2.61E-05
820,2.10E-05
821,1.90E-05
822,1.42E-05
823,7.89E-06
824,8.59E-06
825,7.46E-06
826,6.02E-06
827,5.32E-06
828,3.85E-06
829,3.53E-06
830,2.91E-06
831,2.51E-06
832,2.07E-06
833,1.89E-06
834,1.58E-06
835,1.45E-06
836,1.20E-06
837,9.62E-07
838,7.36E-07
839,5.70E-07
840,4.47E-07
841,3.59E-07
842,2.86E-07
843,2.33E-07
844,1.85E-07
845,1.54E-07
846,1.16E-07
847,8.56E-08
848,6.47E-08
849,4.85E-08
850,3.72E-08
851,3.44E-08
852,2.89E-08
853,2.43E-08
854,1.82E-08
855,1.65E-08
856,1.41E-08
857,1.15E-08
858,9.22E-09
859,7.39E-09
860,6.39E-09
861,5.54E-09
862,4.84E-09
863,4.23E-09
864,3.59E-09
865,3.07E-09
866,2.34E-09
867,2.19E-09
868,1.99E-09
869,1.71E-09
870,1.51E-09
871,1.29E-09
872,1.10E-09
873,9.19E-10
874,7.61E-10
875,6.33E-10
876,5.58E-10
877,4.80E-10
878,4.10E-10
879,3.46E-10
880,3.08E-10
881,2.63E-10
882,2.39E-10
883,2.11E-10
884,1.88E-10
885,1.69E-10
886,1.36E-10
887,1.14E-10
888,9.68E-11
889,8.22E-11
890,7.01E-11
891,6.06E-11
892,5.14E-11
893,4.26E-11
894,3.58E-11
895,2.95E-11
896,2.25E-11
897,1.60E-11
898,1.41E-11
899,8.77E-12
900,9.67E-12
901,6.41E-12
902,5.87E-12
903,4.97E-12
904,5.00E-12
905,3.97E-12
906,3.09E-12
907,1.39E-12
908,7.72E-13
909,4.54E-13
910,2.19E-13
911,7.67E-14
912,2.59E-14
913,7.71E-15
914,2.51E-15
915,8.27E-16
916,2.14E-16
917,8.22E-17
918,2.03E-17
919,7.68E-18
920,2.35E-18
921,3.16E-19
922,3.63E-20
923,4.94E-21
924,6.12E-22
925,7.73E-23
926,2.46E-24
927,8.89E-26
928,2.15E-27
929,6.47E-29
930,2.65E-30
931,1.31E-31
932,5.02E-33
933,2.16E-34
934,6.53E-36
935,5.95E-37
936,1.16E-38
937,3.58E-40
938,1.33E-41
939,8.06E-43
940,2.90E-44
941,3.38E-46
942,5.45E-48
943,5.53E-50
944,8.40E-52
945,1.13E-52
946,6.21E-54
947,1.23E-54
948,9.50E-56
949,1.78E-56
950,5.54E-58
951,1.90E-58
952,7.12E-60
953,6.14E-61
954,5.12E-62
955,2.78E-63
956,4.98E-64
957,7.63E-65
958,2.42E-65
959,3.65E-66
960,2.45E-66
961,1.61E-66
962,9.23E-67
963,6.31E-67
964,3.43E-67
965,2.25E-67
966,1.35E-67
967,1.11E-67
968,1.19E-67
969,1.03E-67
970,7.85E-68
971,7.28E-68
972,1.06E-67
973,1.41E-67
974,2.03E-67
975,3.14E-67
976,5.95E-67
977,1.30E-66
978,2.45E-66
979,4.97E-66
980,9.21E-66
981,3.09E-65
982,8.53E-65
983,2.34E-64
984,7.36E-64
985,1.31E-63
986,2.72E-63
987,5.09E-63
988,9.63E-63
989,1.87E-62
990,3.48E-62
991,6.82E-62
992,2.90E-61
993,1.21E-60
994,5.29E-60
995,2.25E-59
996,7.62E-59
997,2.56E-58
998,8.72E-58
999,2.97E-57
1000,1.01E-56
1001,4.90E-56
1002,2.31E-55
1003,1.12E-54
1004,5.32E-54
1005,2.42E-53
1006,1.22E-52
1007,5.98E-52
1008,2.88E-51
1009,1.37E-50
1010,4.86E-50
1011,1.73E-49
1012,6.09E-49
1013,2.15E-48
1014,7.66E-48
1015,2.67E-47
1016,9.49E-47
1017,3.32E-46
1018,1.20E-45
1019,4.08E-45
1020,1.47E-44
1021,5.22E-44
1022,2.78E-43
1023,1.51E-42
1024,8.14E-42
1025,4.45E-41
1026,2.40E-40
1027,1.29E-39
1028,7.01E-39
1029,3.75E-38
1030,2.04E-37
1031,7.75E-37
1032,2.96E-36
1033,1.11E-35
1034,4.25E-35
1035,1.62E-34
1036,6.19E-34
1037,2.34E-33
1038,8.86E-33
1039,3.40E-32
1040,1.29E-31
1041,4.07E-31
1042,1.29E-30
1043,4.04E-30
1044,1.28E-29
1045,4.03E-29
1046,1.24E-28
1047,3.99E-28
1048,1.27E-27
1049,4.01E-27
1050,1.26E-26
1051,2.26E-26
1052,4.03E-26
1053,7.21E-26
1054,1.29E-25
1055,2.32E-25
1056,4.14E-25
1057,7.41E-25
1058,1.31E-24
1059,2.29E-24
1060,2.89E-24
1061,3.46E-24
1062,4.33E-24
1063,5.24E-24
1064,6.53E-24
1065,7.99E-24
1066,9.63E-24
1067,1.19E-23
1068,1.46E-23
1069,1.70E-23
1070,1.39E-23
1071,1.13E-23
1072,9.00E-24
1073,7.04E-24
1074,5.77E-24
1075,4.38E-24
1076,3.62E-24
1077,2.84E-24
1078,2.26E-24
1079,1.80E-24
1080,9.68E-25
1081,5.12E-25
