wavelength (nm) ,irradiance (w m-2 nm-2)
300,1.26E-09
301,2.93E-09
302,5.46E-09
303,1.63E-08
304,2.69E-08
305,5.77E-08
306,7.79E-08
307,1.40E-07
308,2.28E-07
309,2.92E-07
310,4.39E-07
311,8.27E-07
312,1.08E-06
313,1.43E-06
314,1.84E-06
315,2.43E-06
316,2.42E-06
317,3.71E-06
318,4.19E-06
319,5.37E-06
320,5.93E-06
321,7.83E-06
322,7.53E-06
323,7.80E-06
324,1.10E-05
325,1.20E-05
326,1.77E-05
327,1.99E-05
328,1.89E-05
329,2.44E-05
330,2.94E-05
331,2.69E-05
332,3.12E-05
333,3.29E-05
334,3.41E-05
335,4.09E-05
336,3.95E-05
337,3.83E-05
338,4.80E-05
339,5.52E-05
340,6.45E-05
341,6.53E-05
342,7.30E-05
343,8.28E-05
344,7.25E-05
345,8.57E-05
346,9.62E-05
347,1.07E-04
348,1.11E-04
349,1.18E-04
350,1.44E-04
351,1.61E-04
352,1.61E-04
353,1.73E-04
354,2.15E-04
355,2.32E-04
356,2.22E-04
357,1.94E-04
358,1.94E-04
359,2.24E-04
360,3.02E-04
361,3.45E-04
362,5.70E-04
363,8.03E-04
364,9.57E-04
365,1.09E-03
366,1.41E-03
367,1.51E-03
368,1.51E-03
369,1.87E-03
370,2.24E-03
371,2.25E-03
372,2.32E-03
373,2.24E-03
374,2.12E-03
375,2.35E-03
376,2.83E-03
377,3.14E-03
378,3.98E-03
379,3.64E-03
380,3.77E-03
381,4.43E-03
382,3.53E-03
383,2.84E-03
384,3.30E-03
385,4.51E-03
386,4.31E-03
387,4.68E-03
388,4.70E-03
389,5.22E-03
390,6.25E-03
391,6.95E-03
392,6.75E-03
393,4.24E-03
394,4.57E-03
395,7.75E-03
396,7.43E-03
397,4.27E-03
398,8.71E-03
399,1.11E-02
400,1.19E-02
401,1.27E-02
402,1.35E-02
403,1.34E-02
404,1.40E-02
405,1.40E-02
406,1.41E-02
407,1.43E-02
408,1.52E-02
409,1.65E-02
410,1.44E-02
411,1.64E-02
412,1.77E-02
413,1.73E-02
414,1.75E-02
415,1.84E-02
416,1.93E-02
417,1.92E-02
418,1.87E-02
419,1.99E-02
420,1.85E-02
421,2.15E-02
422,2.16E-02
423,2.12E-02
424,2.15E-02
425,2.25E-02
426,2.22E-02
427,2.18E-02
428,2.24E-02
429,2.11E-02
430,1.71E-02
431,1.57E-02
432,2.66E-02
433,2.51E-02
434,2.36E-02
435,2.62E-02
436,2.92E-02
437,3.02E-02
438,2.69E-02
439,2.63E-02
440,3.06E-02
441,3.07E-02
442,3.34E-02
443,3.45E-02
444,3.42E-02
445,3.62E-02
446,3.30E-02
447,3.79E-02
448,3.87E-02
449,3.90E-02
450,4.08E-02
451,4.27E-02
452,4.13E-02
453,3.85E-02
454,4.17E-02
455,4.19E-02
456,4.38E-02
457,4.48E-02
458,4.43E-02
459,4.45E-02
460,4.48E-02
461,4.69E-02
462,4.79E-02
463,4.86E-02
464,4.76E-02
465,4.75E-02
466,4.91E-02
467,4.74E-02
468,5.00E-02
469,5.08E-02
470,4.94E-02
471,5.08E-02
472,5.40E-02
473,5.26E-02
474,5.43E-02
475,5.73E-02
476,5.66E-02
477,5.81E-02
478,6.09E-02
479,6.07E-02
480,6.28E-02
481,6.38E-02
482,6.48E-02
483,6.48E-02
484,6.43E-02
485,6.49E-02
486,5.33E-02
487,6.04E-02
488,6.62E-02
489,6.31E-02
490,7.14E-02
491,6.95E-02
492,6.69E-02
493,7.22E-02
494,7.12E-02
495,7.63E-02
496,7.32E-02
497,7.51E-02
498,7.37E-02
499,7.40E-02
500,7.40E-02
501,7.19E-02
502,7.21E-02
503,7.57E-02
504,7.08E-02
505,7.60E-02
506,7.92E-02
507,7.59E-02
508,7.40E-02
509,7.77E-02
510,7.58E-02
511,7.71E-02
512,7.91E-02
513,7.42E-02
514,7.26E-02
515,7.46E-02
516,7.52E-02
517,6.12E-02
518,7.04E-02
519,6.87E-02
520,7.54E-02
521,7.64E-02
522,7.86E-02
523,7.46E-02
524,8.07E-02
525,8.03E-02
526,7.82E-02
527,6.85E-02
528,7.85E-02
529,8.23E-02
530,7.92E-02
531,8.37E-02
532,8.23E-02
533,7.36E-02
534,7.90E-02
535,8.02E-02
536,8.36E-02
537,7.73E-02
538,8.12E-02
539,7.92E-02
540,7.65E-02
541,7.35E-02
542,8.00E-02
543,7.88E-02
544,8.17E-02
545,8.00E-02
546,7.94E-02
547,8.06E-02
548,7.84E-02
549,8.10E-02
550,8.05E-02
551,8.06E-02
552,8.20E-02
553,7.95E-02
554,8.09E-02
555,8.11E-02
556,7.96E-02
557,7.74E-02
558,7.89E-02
559,7.45E-02
560,7.56E-02
561,7.98E-02
562,7.57E-02
563,7.82E-02
564,7.64E-02
565,7.66E-02
566,7.21E-02
567,7.66E-02
568,7.56E-02
569,7.35E-02
570,7.32E-02
571,7.03E-02
572,7.35E-02
573,7.30E-02
574,7.19E-02
575,6.96E-02
576,6.83E-02
577,6.93E-02
578,6.64E-02
579,6.64E-02
580,6.63E-02
581,6.54E-02
582,6.52E-02
583,6.47E-02
584,6.34E-02
585,6.18E-02
586,5.92E-02
587,5.94E-02
588,5.64E-02
589,4.71E-02
590,4.86E-02
591,5.03E-02
592,4.77E-02
593,4.68E-02
594,4.51E-02
595,4.30E-02
596,4.28E-02
597,4.15E-02
598,3.96E-02
599,3.81E-02
600,3.70E-02
601,3.52E-02
602,3.33E-02
603,3.29E-02
604,3.24E-02
605,3.14E-02
606,3.09E-02
607,3.07E-02
608,3.03E-02
609,2.97E-02
610,2.93E-02
611,2.88E-02
612,2.90E-02
613,2.83E-02
614,2.72E-02
615,2.80E-02
616,2.71E-02
617,2.65E-02
618,2.73E-02
619,2.72E-02
620,2.70E-02
621,2.69E-02
622,2.57E-02
623,2.53E-02
624,2.50E-02
625,2.46E-02
626,2.44E-02
627,2.49E-02
628,2.33E-02
629,2.39E-02
630,2.34E-02
631,2.36E-02
632,2.26E-02
633,2.38E-02
634,2.33E-02
635,2.33E-02
636,2.26E-02
637,2.32E-02
638,2.32E-02
639,2.29E-02
640,2.23E-02
641,2.21E-02
642,2.20E-02
643,2.20E-02
644,2.17E-02
645,2.17E-02
646,2.09E-02
647,2.06E-02
648,2.02E-02
649,1.93E-02
650,1.90E-02
651,1.98E-02
652,1.87E-02
653,1.89E-02
654,1.84E-02
655,1.70E-02
656,1.45E-02
657,1.47E-02
658,1.60E-02
659,1.56E-02
660,1.52E-02
661,1.49E-02
662,1.46E-02
663,1.45E-02
664,1.45E-02
665,1.47E-02
666,1.45E-02
667,1.43E-02
668,1.42E-02
669,1.44E-02
670,1.41E-02
671,1.39E-02
672,1.36E-02
673,1.36E-02
674,1.35E-02
675,1.33E-02
676,1.33E-02
677,1.31E-02
678,1.30E-02
679,1.28E-02
680,1.27E-02
681,1.25E-02
682,1.24E-02
683,1.21E-02
684,1.19E-02
685,1.18E-02
686,1.14E-02
687,8.07E-03
688,9.20E-03
689,9.12E-03
690,9.42E-03
691,9.51E-03
692,9.40E-03
693,8.97E-03
694,8.53E-03
695,8.38E-03
696,8.02E-03
