wl (nm),ir (W m-2 nm-1)
250,0.00E+00
251,0.00E+00
252,0.00E+00
253,0.00E+00
254,0.00E+00
255,0.00E+00
256,0.00E+00
257,0.00E+00
258,0.00E+00
259,0.00E+00
260,0.00E+00
261,0.00E+00
262,0.00E+00
263,0.00E+00
264,0.00E+00
265,0.00E+00
266,0.00E+00
267,0.00E+00
268,0.00E+00
269,0.00E+00
270,0.00E+00
271,0.00E+00
272,0.00E+00
273,0.00E+00
274,0.00E+00
275,0.00E+00
276,0.00E+00
277,0.00E+00
278,0.00E+00
279,0.00E+00
280,4.73E-23
281,5.69E-21
282,1.19E-18
283,1.85E-17
284,7.27E-16
285,8.01E-15
286,1.37E-13
287,2.74E-12
288,6.23E-11
289,5.63E-10
290,6.02E-09
291,3.51E-08
292,2.68E-07
293,8.65E-07
294,4.17E-06
295,1.23E-05
296,4.79E-05
297,9.68E-05
298,2.90E-04
299,4.92E-04
300,0.00102
301,0.00193
302,0.00292
303,0.00709
304,0.00947
305,0.01646
306,0.01858
307,0.02785
308,0.03784
309,0.04053
310,0.05094
311,0.08292
312,0.09338
313,0.10733
314,0.11969
315,0.13625
316,0.12348
317,0.17158
318,0.17594
319,0.2047
320,0.20527
321,0.25024
322,0.22203
323,0.21226
324,0.27537
325,0.27894
326,0.3812
327,0.39806
328,0.35116
329,0.42235
330,0.47139
331,0.40262
332,0.43623
333,0.42944
334,0.41497
335,0.46388
336,0.41519
337,0.3738
338,0.43411
339,0.46355
340,0.5018
341,0.47139
342,0.48934
343,0.51489
344,0.41843
345,0.45898
346,0.47778
347,0.49404
348,0.47511
349,0.46564
350,0.52798
351,0.55172
352,0.51791
353,0.5204
354,0.60498
355,0.6114
356,0.55387
357,0.45673
358,0.43006
359,0.46953
360,0.59817
361,0.52024
362,0.5342
363,0.60191
364,0.60628
365,0.62359
366,0.73532
367,0.72285
368,0.66759
369,0.69315
370,0.75507
371,0.69338
372,0.67444
373,0.61886
374,0.5564
375,0.5893
376,0.6748
377,0.71225
378,0.85595
379,0.74389
380,0.70077
381,0.76383
382,0.58678
383,0.45499
384,0.50968
385,0.67355
386,0.621
387,0.65147
388,0.63582
389,0.68543
390,0.79699
391,0.85138
392,0.79493
393,0.47975
394,0.49567
395,0.80772
396,0.75655
