wavelength (nm) ,irradiance (w m-2 nm-2)
300,1.55E-14
301,4.45E-14
302,1.02E-13
303,3.77E-13
304,7.65E-13
305,2.02E-12
306,3.27E-12
307,7.03E-12
308,1.37E-11
309,2.10E-11
310,3.79E-11
311,8.25E-11
312,1.24E-10
313,1.91E-10
314,2.84E-10
315,4.33E-10
316,4.75E-10
317,8.01E-10
318,9.97E-10
319,1.41E-09
320,1.71E-09
321,2.45E-09
322,2.55E-09
323,2.87E-09
324,4.37E-09
325,5.19E-09
326,8.22E-09
327,9.94E-09
328,1.02E-08
329,1.41E-08
330,1.83E-08
331,1.79E-08
332,2.23E-08
333,2.53E-08
334,2.81E-08
335,3.60E-08
336,3.75E-08
337,3.93E-08
338,5.30E-08
339,6.58E-08
340,8.29E-08
341,9.04E-08
342,1.09E-07
343,1.33E-07
344,1.26E-07
345,1.60E-07
346,1.94E-07
347,2.33E-07
348,2.61E-07
349,2.97E-07
350,3.92E-07
351,4.68E-07
352,5.01E-07
353,5.75E-07
354,7.62E-07
355,8.79E-07
356,8.94E-07
357,8.27E-07
358,8.74E-07
359,1.07E-06
360,1.53E-06
361,2.28E-06
362,6.08E-06
363,1.07E-05
364,1.51E-05
365,1.90E-05
366,2.71E-05
367,3.14E-05
368,3.43E-05
369,5.06E-05
370,6.67E-05
371,7.29E-05
372,7.95E-05
373,8.09E-05
374,8.06E-05
375,9.41E-05
376,1.19E-04
377,1.38E-04
378,1.85E-04
379,1.78E-04
380,2.03E-04
381,2.56E-04
382,2.12E-04
383,1.77E-04
384,2.13E-04
385,3.03E-04
386,2.99E-04
387,3.36E-04
388,3.48E-04
389,3.97E-04
390,4.90E-04
391,5.67E-04
392,5.74E-04
393,3.75E-04
394,4.21E-04
395,7.44E-04
396,7.29E-04
397,4.27E-04
398,8.90E-04
399,1.16E-03
400,1.26E-03
401,1.39E-03
402,1.52E-03
403,1.54E-03
404,1.65E-03
405,1.71E-03
406,1.77E-03
407,1.85E-03
408,2.00E-03
409,2.22E-03
410,1.97E-03
411,2.29E-03
412,2.52E-03
413,2.51E-03
414,2.58E-03
415,2.77E-03
416,2.96E-03
417,3.00E-03
418,2.98E-03
419,3.22E-03
420,3.06E-03
421,3.61E-03
422,3.70E-03
423,3.70E-03
424,3.80E-03
425,4.05E-03
426,4.07E-03
427,4.06E-03
428,4.23E-03
429,4.04E-03
430,3.33E-03
431,3.12E-03
432,5.35E-03
433,5.14E-03
434,4.90E-03
435,5.53E-03
436,6.24E-03
437,6.56E-03
438,5.92E-03
439,5.87E-03
440,6.92E-03
441,7.06E-03
442,7.83E-03
443,8.23E-03
444,8.31E-03
445,8.94E-03
446,8.31E-03
447,9.66E-03
448,9.95E-03
449,1.01E-02
450,1.07E-02
451,1.13E-02
452,1.10E-02
453,1.04E-02
454,1.13E-02
455,1.16E-02
456,1.22E-02
457,1.26E-02
458,1.27E-02
459,1.29E-02
460,1.31E-02
461,1.39E-02
462,1.44E-02
463,1.47E-02
464,1.46E-02
465,1.47E-02
466,1.54E-02
467,1.50E-02
468,1.60E-02
469,1.64E-02
470,1.62E-02
471,1.68E-02
472,1.81E-02
473,1.78E-02
474,1.88E-02
475,2.03E-02
476,2.05E-02
477,2.15E-02
478,2.29E-02
479,2.32E-02
480,2.43E-02
481,2.51E-02
482,2.58E-02
483,2.62E-02
484,2.63E-02
485,2.69E-02
486,2.23E-02
487,2.56E-02
488,2.84E-02
489,2.74E-02
490,3.14E-02
491,3.10E-02
492,3.01E-02
493,3.28E-02
494,3.26E-02
495,3.53E-02
496,3.42E-02
497,3.54E-02
498,3.50E-02
499,3.53E-02
500,3.54E-02
501,3.46E-02
502,3.48E-02
503,3.66E-02
504,3.44E-02
505,3.70E-02
506,3.86E-02
507,3.70E-02
508,3.62E-02
509,3.80E-02
510,3.71E-02
511,3.77E-02
512,3.86E-02
513,3.62E-02
514,3.54E-02
515,3.63E-02
516,3.66E-02
517,2.97E-02
518,3.44E-02
519,3.38E-02
520,3.73E-02
521,3.81E-02
522,3.94E-02
523,3.76E-02
524,4.09E-02
525,4.09E-02
526,3.99E-02
527,3.50E-02
528,4.02E-02
529,4.22E-02
530,4.06E-02
531,4.30E-02
532,4.24E-02
533,3.80E-02
534,4.07E-02
535,4.14E-02
536,4.31E-02
537,3.99E-02
538,4.19E-02
539,4.09E-02
